session_id,date,customer_id,channel,device,landing_page,sessions,bounces
S20250406-Em-De-1504,2025-04-06,,Email,Desktop,/,13,3
S20250406-Em-Mo-8467,2025-04-06,,Email,Mobile,/,57,14
S20250406-Or-De-7900,2025-04-06,,Organic,Desktop,/,17,5
S20250406-Or-Mo-3160,2025-04-06,,Organic,Mobile,/,145,42
S20250406-Re-De-5497,2025-04-06,,Referral,Desktop,/,10,3
S20250406-Re-Mo-7976,2025-04-06,,Referral,Mobile,/,20,6
S20250407-Pa-De-1651,2025-04-07,,Paid Search,Desktop,/,2,0
S20250407-Pa-Mo-2050,2025-04-07,,Paid Search,Mobile,/,102,37
S20250407-Pa-De-1202,2025-04-07,,Paid Social,Desktop,/,38,16
S20250407-Pa-Mo-1941,2025-04-07,,Paid Social,Mobile,/,62,27
S20250407-Em-De-1531,2025-04-07,,Email,Desktop,/,5,1
S20250407-Em-Mo-2035,2025-04-07,,Email,Mobile,/,39,10
S20250407-Or-De-6699,2025-04-07,,Organic,Desktop,/,48,15
S20250407-Or-Mo-6922,2025-04-07,,Organic,Mobile,/,62,19
S20250407-Re-De-9390,2025-04-07,,Referral,Desktop,/,7,2
S20250407-Re-Mo-4232,2025-04-07,,Referral,Mobile,/,30,7
S20250408-Pa-De-5010,2025-04-08,,Paid Search,Desktop,/,21,8
S20250408-Pa-Mo-5986,2025-04-08,,Paid Search,Mobile,/,127,48
S20250408-Pa-De-2371,2025-04-08,,Paid Social,Desktop,/,16,8
S20250408-Pa-Mo-2074,2025-04-08,,Paid Social,Mobile,/,109,51
S20250408-Em-De-6496,2025-04-08,,Email,Desktop,/,9,3
S20250408-Em-Mo-9688,2025-04-08,,Email,Mobile,/,40,12
S20250408-Or-De-1728,2025-04-08,,Organic,Desktop,/,119,41
S20250408-Or-Mo-2287,2025-04-08,,Organic,Mobile,/,44,15
S20250408-Re-De-6107,2025-04-08,,Referral,Desktop,/,17,5
S20250408-Re-Mo-5706,2025-04-08,,Referral,Mobile,/,24,8
S20250409-Pa-De-4172,2025-04-09,,Paid Search,Desktop,/,89,35
S20250409-Pa-Mo-9185,2025-04-09,,Paid Search,Mobile,/,44,17
S20250409-Pa-De-9316,2025-04-09,,Paid Social,Desktop,/,84,39
S20250409-Pa-Mo-9503,2025-04-09,,Paid Social,Mobile,/,30,14
S20250409-Em-De-3846,2025-04-09,,Email,Desktop,/,25,5
S20250409-Em-Mo-7817,2025-04-09,,Email,Mobile,/,35,7
S20250409-Or-De-5275,2025-04-09,,Organic,Desktop,/,11,4
S20250409-Or-Mo-6538,2025-04-09,,Organic,Mobile,/,126,51
S20250409-Re-De-1247,2025-04-09,,Referral,Desktop,/,9,3
S20250409-Re-Mo-5378,2025-04-09,,Referral,Mobile,/,20,7
S20250410-Pa-De-1882,2025-04-10,,Paid Search,Desktop,/,23,8
S20250410-Pa-Mo-1393,2025-04-10,,Paid Search,Mobile,/,95,32
S20250410-Pa-De-9011,2025-04-10,,Paid Social,Desktop,/,96,46
S20250410-Pa-Mo-8078,2025-04-10,,Paid Social,Mobile,/,33,15
S20250410-Em-De-9071,2025-04-10,,Email,Desktop,/,47,7
S20250410-Em-Mo-8013,2025-04-10,,Email,Mobile,/,11,1
S20250410-Or-De-5568,2025-04-10,,Organic,Desktop,/,41,12
S20250410-Or-Mo-4459,2025-04-10,,Organic,Mobile,/,82,24
S20250410-Re-De-9451,2025-04-10,,Referral,Desktop,/,18,9
S20250410-Re-Mo-5736,2025-04-10,,Referral,Mobile,/,12,5
S20250411-Pa-De-6492,2025-04-11,,Paid Search,Desktop,/,15,6
S20250411-Pa-Mo-5999,2025-04-11,,Paid Search,Mobile,/,170,66
S20250411-Pa-De-6229,2025-04-11,,Paid Social,Desktop,/,15,7
S20250411-Pa-Mo-3241,2025-04-11,,Paid Social,Mobile,/,123,63
S20250411-Em-De-7815,2025-04-11,,Email,Desktop,/,48,15
S20250411-Em-Mo-5864,2025-04-11,,Email,Mobile,/,19,6
S20250411-Or-De-6945,2025-04-11,,Organic,Desktop,/,1,0
S20250411-Or-Mo-8691,2025-04-11,,Organic,Mobile,/,197,67
S20250411-Re-De-5661,2025-04-11,,Referral,Desktop,/,17,4
S20250411-Re-Mo-3398,2025-04-11,,Referral,Mobile,/,25,5
S20250412-Pa-De-9313,2025-04-12,,Paid Search,Desktop,/,8,2
S20250412-Pa-Mo-5961,2025-04-12,,Paid Search,Mobile,/,125,37
S20250412-Pa-De-2393,2025-04-12,,Paid Social,Desktop,/,39,17
S20250412-Pa-Mo-3023,2025-04-12,,Paid Social,Mobile,/,75,33
S20250412-Em-De-3057,2025-04-12,,Email,Desktop,/,28,7
S20250412-Em-Mo-8996,2025-04-12,,Email,Mobile,/,26,7
S20250412-Or-De-1760,2025-04-12,,Organic,Desktop,/,80,29
S20250412-Or-Mo-9965,2025-04-12,,Organic,Mobile,/,47,17
S20250412-Re-De-6006,2025-04-12,,Referral,Desktop,/,15,3
S20250412-Re-Mo-6768,2025-04-12,,Referral,Mobile,/,17,4
S20250413-Pa-De-2429,2025-04-13,,Paid Search,Desktop,/,110,41
S20250413-Pa-Mo-7101,2025-04-13,,Paid Search,Mobile,/,88,33
S20250413-Pa-De-3061,2025-04-13,,Paid Social,Desktop,/,37,20
S20250413-Pa-Mo-6175,2025-04-13,,Paid Social,Mobile,/,141,78
S20250413-Em-De-1077,2025-04-13,,Email,Desktop,/,64,19
S20250413-Em-Mo-3159,2025-04-13,,Email,Mobile,/,23,6
S20250413-Or-De-4062,2025-04-13,,Organic,Desktop,/,16,4
S20250413-Or-Mo-9316,2025-04-13,,Organic,Mobile,/,189,57
S20250413-Re-De-2966,2025-04-13,,Referral,Desktop,/,13,3
S20250413-Re-Mo-5969,2025-04-13,,Referral,Mobile,/,31,8
S20250414-Pa-De-2334,2025-04-14,,Paid Search,Desktop,/,20,6
S20250414-Pa-Mo-1667,2025-04-14,,Paid Search,Mobile,/,148,46
S20250414-Pa-De-7230,2025-04-14,,Paid Social,Desktop,/,3,1
S20250414-Pa-Mo-1100,2025-04-14,,Paid Social,Mobile,/,151,71
S20250414-Em-De-4167,2025-04-14,,Email,Desktop,/,16,6
S20250414-Em-Mo-6380,2025-04-14,,Email,Mobile,/,66,25
S20250414-Or-De-9663,2025-04-14,,Organic,Desktop,/,31,11
S20250414-Or-Mo-3214,2025-04-14,,Organic,Mobile,/,125,44
S20250414-Re-De-6334,2025-04-14,,Referral,Desktop,/,26,12
S20250414-Re-Mo-7830,2025-04-14,,Referral,Mobile,/,27,12
S20250415-Pa-De-2949,2025-04-15,,Paid Search,Desktop,/,61,20
S20250415-Pa-Mo-9272,2025-04-15,,Paid Search,Mobile,/,108,37
S20250415-Pa-De-7710,2025-04-15,,Paid Social,Desktop,/,14,6
S20250415-Pa-Mo-9516,2025-04-15,,Paid Social,Mobile,/,139,68
S20250415-Em-De-3704,2025-04-15,,Email,Desktop,/,53,13
S20250415-Em-Mo-7260,2025-04-15,,Email,Mobile,/,9,2
S20250415-Or-De-3258,2025-04-15,,Organic,Desktop,/,60,18
S20250415-Or-Mo-4862,2025-04-15,,Organic,Mobile,/,116,35
S20250415-Re-De-9608,2025-04-15,,Referral,Desktop,/,6,1
S20250415-Re-Mo-5941,2025-04-15,,Referral,Mobile,/,32,10
S20250416-Pa-De-6156,2025-04-16,,Paid Search,Desktop,/,79,34
S20250416-Pa-Mo-6773,2025-04-16,,Paid Search,Mobile,/,57,24
S20250416-Pa-De-4727,2025-04-16,,Paid Social,Desktop,/,52,28
S20250416-Pa-Mo-4996,2025-04-16,,Paid Social,Mobile,/,40,22
S20250416-Em-De-5345,2025-04-16,,Email,Desktop,/,9,3
S20250416-Em-Mo-9174,2025-04-16,,Email,Mobile,/,42,16
S20250416-Or-De-7505,2025-04-16,,Organic,Desktop,/,6,2
S20250416-Or-Mo-7387,2025-04-16,,Organic,Mobile,/,87,32
S20250416-Re-De-6255,2025-04-16,,Referral,Desktop,/,11,4
S20250416-Re-Mo-3688,2025-04-16,,Referral,Mobile,/,19,8
S20250417-Pa-De-4343,2025-04-17,,Paid Search,Desktop,/,39,14
S20250417-Pa-Mo-1065,2025-04-17,,Paid Search,Mobile,/,179,64
S20250417-Pa-De-6585,2025-04-17,,Paid Social,Desktop,/,62,30
S20250417-Pa-Mo-9554,2025-04-17,,Paid Social,Mobile,/,137,65
S20250417-Em-De-7157,2025-04-17,,Email,Desktop,/,2,0
S20250417-Em-Mo-4864,2025-04-17,,Email,Mobile,/,103,31
S20250417-Or-De-6318,2025-04-17,,Organic,Desktop,/,30,10
S20250417-Or-Mo-6000,2025-04-17,,Organic,Mobile,/,205,66
S20250417-Re-De-6863,2025-04-17,,Referral,Desktop,/,1,0
S20250417-Re-Mo-1956,2025-04-17,,Referral,Mobile,/,49,12
S20250418-Pa-De-3803,2025-04-18,,Paid Search,Desktop,/,31,13
S20250418-Pa-Mo-2024,2025-04-18,,Paid Search,Mobile,/,65,27
S20250418-Pa-De-1811,2025-04-18,,Paid Social,Desktop,/,65,31
S20250418-Pa-Mo-6456,2025-04-18,,Paid Social,Mobile,/,33,16
S20250418-Em-De-9011,2025-04-18,,Email,Desktop,/,9,2
S20250418-Em-Mo-1431,2025-04-18,,Email,Mobile,/,29,8
S20250418-Or-De-9672,2025-04-18,,Organic,Desktop,/,13,5
S20250418-Or-Mo-9968,2025-04-18,,Organic,Mobile,/,99,36
S20250418-Re-De-8326,2025-04-18,,Referral,Desktop,/,13,7
S20250418-Re-Mo-9469,2025-04-18,,Referral,Mobile,/,16,8
S20250419-Pa-De-5337,2025-04-19,,Paid Search,Desktop,/,25,7
S20250419-Pa-Mo-6094,2025-04-19,,Paid Search,Mobile,/,54,16
S20250419-Pa-De-3017,2025-04-19,,Paid Social,Desktop,/,40,21
S20250419-Pa-Mo-5223,2025-04-19,,Paid Social,Mobile,/,22,12
S20250419-Em-De-4856,2025-04-19,,Email,Desktop,/,3,1
S20250419-Em-Mo-1050,2025-04-19,,Email,Mobile,/,28,11
S20250419-Or-De-9557,2025-04-19,,Organic,Desktop,/,17,3
S20250419-Or-Mo-7030,2025-04-19,,Organic,Mobile,/,59,12
S20250419-Re-De-7085,2025-04-19,,Referral,Desktop,/,2,0
S20250419-Re-Mo-1234,2025-04-19,,Referral,Mobile,/,9,1
S20250420-Pa-De-1033,2025-04-20,,Paid Search,Desktop,/,54,19
S20250420-Pa-Mo-4032,2025-04-20,,Paid Search,Mobile,/,210,74
S20250420-Pa-De-2256,2025-04-20,,Paid Social,Desktop,/,64,30
S20250420-Pa-Mo-4240,2025-04-20,,Paid Social,Mobile,/,158,75
S20250420-Em-De-8634,2025-04-20,,Email,Desktop,/,36,10
S20250420-Em-Mo-5957,2025-04-20,,Email,Mobile,/,65,18
S20250420-Or-De-1305,2025-04-20,,Organic,Desktop,/,13,4
S20250420-Or-Mo-2384,2025-04-20,,Organic,Mobile,/,245,77
S20250420-Re-De-2276,2025-04-20,,Referral,Desktop,/,54,17
S20250420-Re-Mo-7553,2025-04-20,,Referral,Mobile,/,5,1
S20250421-Pa-De-8739,2025-04-21,,Paid Search,Desktop,/,158,61
S20250421-Pa-Mo-7844,2025-04-21,,Paid Search,Mobile,/,33,12
S20250421-Pa-De-3006,2025-04-21,,Paid Social,Desktop,/,48,26
S20250421-Pa-Mo-6213,2025-04-21,,Paid Social,Mobile,/,136,74
S20250421-Em-De-1846,2025-04-21,,Email,Desktop,/,66,18
S20250421-Em-Mo-8521,2025-04-21,,Email,Mobile,/,18,4
S20250421-Or-De-3293,2025-04-21,,Organic,Desktop,/,120,42
S20250421-Or-Mo-1674,2025-04-21,,Organic,Mobile,/,70,25
S20250421-Re-De-1797,2025-04-21,,Referral,Desktop,/,19,6
S20250421-Re-Mo-8121,2025-04-21,,Referral,Mobile,/,34,11
S20250422-Pa-De-2561,2025-04-22,,Paid Search,Desktop,/,67,28
S20250422-Pa-Mo-8859,2025-04-22,,Paid Search,Mobile,/,74,31
S20250422-Pa-De-8227,2025-04-22,,Paid Social,Desktop,/,27,13
S20250422-Pa-Mo-5024,2025-04-22,,Paid Social,Mobile,/,99,49
S20250422-Em-De-9886,2025-04-22,,Email,Desktop,/,18,6
S20250422-Em-Mo-3244,2025-04-22,,Email,Mobile,/,45,14
S20250422-Or-De-4978,2025-04-22,,Organic,Desktop,/,34,11
S20250422-Or-Mo-5490,2025-04-22,,Organic,Mobile,/,137,47
S20250422-Re-De-9428,2025-04-22,,Referral,Desktop,/,24,8
S20250422-Re-Mo-2056,2025-04-22,,Referral,Mobile,/,12,4
S20250423-Pa-De-1717,2025-04-23,,Paid Search,Desktop,/,8,3
S20250423-Pa-Mo-4345,2025-04-23,,Paid Search,Mobile,/,158,62
S20250423-Pa-De-8035,2025-04-23,,Paid Social,Desktop,/,72,33
S20250423-Pa-Mo-5230,2025-04-23,,Paid Social,Mobile,/,78,36
S20250423-Em-De-7500,2025-04-23,,Email,Desktop,/,32,10
S20250423-Em-Mo-1400,2025-04-23,,Email,Mobile,/,50,17
S20250423-Or-De-4533,2025-04-23,,Organic,Desktop,/,20,5
S20250423-Or-Mo-3618,2025-04-23,,Organic,Mobile,/,134,37
S20250423-Re-De-7075,2025-04-23,,Referral,Desktop,/,7,2
S20250423-Re-Mo-3047,2025-04-23,,Referral,Mobile,/,34,14
S20250424-Pa-De-3582,2025-04-24,,Paid Search,Desktop,/,17,6
S20250424-Pa-Mo-9505,2025-04-24,,Paid Search,Mobile,/,136,49
S20250424-Pa-De-8819,2025-04-24,,Paid Social,Desktop,/,9,3
S20250424-Pa-Mo-6141,2025-04-24,,Paid Social,Mobile,/,131,54
S20250424-Em-De-7937,2025-04-24,,Email,Desktop,/,9,2
S20250424-Em-Mo-9575,2025-04-24,,Email,Mobile,/,64,17
S20250424-Or-De-5117,2025-04-24,,Organic,Desktop,/,20,8
S20250424-Or-Mo-7982,2025-04-24,,Organic,Mobile,/,115,46
S20250424-Re-De-9731,2025-04-24,,Referral,Desktop,/,9,2
S20250424-Re-Mo-7709,2025-04-24,,Referral,Mobile,/,34,8
S20250425-Pa-De-2535,2025-04-25,,Paid Search,Desktop,/,5,2
S20250425-Pa-Mo-5753,2025-04-25,,Paid Search,Mobile,/,131,51
S20250425-Pa-De-6091,2025-04-25,,Paid Social,Desktop,/,18,8
S20250425-Pa-Mo-1518,2025-04-25,,Paid Social,Mobile,/,106,48
S20250425-Em-De-7775,2025-04-25,,Email,Desktop,/,42,19
S20250425-Em-Mo-7690,2025-04-25,,Email,Mobile,/,19,8
S20250425-Or-De-4752,2025-04-25,,Organic,Desktop,/,103,36
S20250425-Or-Mo-9852,2025-04-25,,Organic,Mobile,/,39,14
S20250425-Re-De-1506,2025-04-25,,Referral,Desktop,/,10,3
S20250425-Re-Mo-9599,2025-04-25,,Referral,Mobile,/,19,7
S20250426-Pa-De-1755,2025-04-26,,Paid Search,Desktop,/,131,44
S20250426-Pa-Mo-1145,2025-04-26,,Paid Search,Mobile,/,36,12
S20250426-Pa-De-4518,2025-04-26,,Paid Social,Desktop,/,0,0
S20250426-Pa-Mo-7558,2025-04-26,,Paid Social,Mobile,/,146,84
S20250426-Em-De-6498,2025-04-26,,Email,Desktop,/,25,6
S20250426-Em-Mo-5255,2025-04-26,,Email,Mobile,/,46,12
S20250426-Or-De-4969,2025-04-26,,Organic,Desktop,/,48,17
S20250426-Or-Mo-6420,2025-04-26,,Organic,Mobile,/,121,43
S20250426-Re-De-3021,2025-04-26,,Referral,Desktop,/,13,3
S20250426-Re-Mo-8784,2025-04-26,,Referral,Mobile,/,29,8
S20250427-Pa-De-7087,2025-04-27,,Paid Search,Desktop,/,47,15
S20250427-Pa-Mo-3933,2025-04-27,,Paid Search,Mobile,/,47,14
S20250427-Pa-De-5723,2025-04-27,,Paid Social,Desktop,/,29,16
S20250427-Pa-Mo-7886,2025-04-27,,Paid Social,Mobile,/,64,35
S20250427-Em-De-2600,2025-04-27,,Email,Desktop,/,10,2
S20250427-Em-Mo-3233,2025-04-27,,Email,Mobile,/,41,10
S20250427-Or-De-2190,2025-04-27,,Organic,Desktop,/,30,7
S20250427-Or-Mo-4210,2025-04-27,,Organic,Mobile,/,60,15
S20250427-Re-De-8383,2025-04-27,,Referral,Desktop,/,1,0
S20250427-Re-Mo-1269,2025-04-27,,Referral,Mobile,/,29,8
S20250428-Pa-De-4081,2025-04-28,,Paid Search,Desktop,/,101,40
S20250428-Pa-Mo-2747,2025-04-28,,Paid Search,Mobile,/,50,20
S20250428-Pa-De-5397,2025-04-28,,Paid Social,Desktop,/,17,7
S20250428-Pa-Mo-6671,2025-04-28,,Paid Social,Mobile,/,128,59
S20250428-Em-De-2946,2025-04-28,,Email,Desktop,/,19,6
S20250428-Em-Mo-4415,2025-04-28,,Email,Mobile,/,37,12
S20250428-Or-De-5344,2025-04-28,,Organic,Desktop,/,107,36
S20250428-Or-Mo-7591,2025-04-28,,Organic,Mobile,/,35,12
S20250428-Re-De-9978,2025-04-28,,Referral,Desktop,/,25,10
S20250428-Re-Mo-5935,2025-04-28,,Referral,Mobile,/,12,4
S20250429-Pa-De-8959,2025-04-29,,Paid Search,Desktop,/,93,34
S20250429-Pa-Mo-7241,2025-04-29,,Paid Search,Mobile,/,71,26
S20250429-Pa-De-5673,2025-04-29,,Paid Social,Desktop,/,90,40
S20250429-Pa-Mo-1337,2025-04-29,,Paid Social,Mobile,/,74,33
S20250429-Em-De-2519,2025-04-29,,Email,Desktop,/,31,12
S20250429-Em-Mo-7489,2025-04-29,,Email,Mobile,/,40,15
S20250429-Or-De-5991,2025-04-29,,Organic,Desktop,/,22,8
S20250429-Or-Mo-7794,2025-04-29,,Organic,Mobile,/,154,58
S20250429-Re-De-7139,2025-04-29,,Referral,Desktop,/,30,8
S20250429-Re-Mo-8199,2025-04-29,,Referral,Mobile,/,15,4
S20250430-Pa-De-3605,2025-04-30,,Paid Search,Desktop,/,54,24
S20250430-Pa-Mo-3538,2025-04-30,,Paid Search,Mobile,/,30,13
S20250430-Pa-De-8165,2025-04-30,,Paid Social,Desktop,/,1,0
S20250430-Pa-Mo-4336,2025-04-30,,Paid Social,Mobile,/,96,39
S20250430-Em-De-1440,2025-04-30,,Email,Desktop,/,18,4
S20250430-Em-Mo-2138,2025-04-30,,Email,Mobile,/,27,7
S20250430-Or-De-3200,2025-04-30,,Organic,Desktop,/,50,20
S20250430-Or-Mo-5551,2025-04-30,,Organic,Mobile,/,49,19
S20250430-Re-De-4325,2025-04-30,,Referral,Desktop,/,11,2
S20250430-Re-Mo-9699,2025-04-30,,Referral,Mobile,/,23,6
S20250501-Pa-De-3677,2025-05-01,,Paid Search,Desktop,/,101,32
S20250501-Pa-Mo-7144,2025-05-01,,Paid Search,Mobile,/,78,25
S20250501-Pa-De-5444,2025-05-01,,Paid Social,Desktop,/,147,62
S20250501-Pa-Mo-3964,2025-05-01,,Paid Social,Mobile,/,48,20
S20250501-Em-De-4101,2025-05-01,,Email,Desktop,/,1,0
S20250501-Em-Mo-4897,2025-05-01,,Email,Mobile,/,95,28
S20250501-Or-De-2376,2025-05-01,,Organic,Desktop,/,33,10
S20250501-Or-Mo-5719,2025-05-01,,Organic,Mobile,/,156,50
S20250501-Re-De-4491,2025-05-01,,Referral,Desktop,/,38,12
S20250501-Re-Mo-1789,2025-05-01,,Referral,Mobile,/,4,1
S20250502-Pa-De-7920,2025-05-02,,Paid Search,Desktop,/,37,12
S20250502-Pa-Mo-4398,2025-05-02,,Paid Search,Mobile,/,58,19
S20250502-Pa-De-9195,2025-05-02,,Paid Social,Desktop,/,10,5
S20250502-Pa-Mo-4447,2025-05-02,,Paid Social,Mobile,/,81,39
S20250502-Em-De-6335,2025-05-02,,Email,Desktop,/,29,11
S20250502-Em-Mo-6487,2025-05-02,,Email,Mobile,/,1,0
S20250502-Or-De-5191,2025-05-02,,Organic,Desktop,/,32,9
S20250502-Or-Mo-8312,2025-05-02,,Organic,Mobile,/,50,14
S20250502-Re-De-8921,2025-05-02,,Referral,Desktop,/,3,0
S20250502-Re-Mo-2691,2025-05-02,,Referral,Mobile,/,15,4
S20250503-Pa-De-2444,2025-05-03,,Paid Search,Desktop,/,93,29
S20250503-Pa-Mo-9594,2025-05-03,,Paid Search,Mobile,/,98,31
S20250503-Pa-De-5762,2025-05-03,,Paid Social,Desktop,/,95,44
S20250503-Pa-Mo-2753,2025-05-03,,Paid Social,Mobile,/,83,39
S20250503-Em-De-8420,2025-05-03,,Email,Desktop,/,11,2
S20250503-Em-Mo-9742,2025-05-03,,Email,Mobile,/,63,13
S20250503-Or-De-4346,2025-05-03,,Organic,Desktop,/,89,28
S20250503-Or-Mo-5054,2025-05-03,,Organic,Mobile,/,86,28
S20250503-Re-De-5164,2025-05-03,,Referral,Desktop,/,19,5
S20250503-Re-Mo-7720,2025-05-03,,Referral,Mobile,/,31,7
S20250504-Pa-De-1026,2025-05-04,,Paid Search,Desktop,/,74,25
S20250504-Pa-Mo-6161,2025-05-04,,Paid Search,Mobile,/,152,53
S20250504-Pa-De-3924,2025-05-04,,Paid Social,Desktop,/,81,34
S20250504-Pa-Mo-3837,2025-05-04,,Paid Social,Mobile,/,135,57
S20250504-Em-De-7139,2025-05-04,,Email,Desktop,/,56,15
S20250504-Em-Mo-3988,2025-05-04,,Email,Mobile,/,64,17
S20250504-Or-De-2238,2025-05-04,,Organic,Desktop,/,28,9
S20250504-Or-Mo-5834,2025-05-04,,Organic,Mobile,/,217,71
S20250504-Re-De-8221,2025-05-04,,Referral,Desktop,/,39,12
S20250504-Re-Mo-8814,2025-05-04,,Referral,Mobile,/,26,8
S20250505-Pa-De-3601,2025-05-05,,Paid Search,Desktop,/,213,71
S20250505-Pa-Mo-9566,2025-05-05,,Paid Search,Mobile,/,15,5
S20250505-Pa-De-9742,2025-05-05,,Paid Social,Desktop,/,188,95
S20250505-Pa-Mo-6425,2025-05-05,,Paid Social,Mobile,/,43,21
S20250505-Em-De-1488,2025-05-05,,Email,Desktop,/,19,5
S20250505-Em-Mo-6142,2025-05-05,,Email,Mobile,/,67,19
S20250505-Or-De-3798,2025-05-05,,Organic,Desktop,/,112,33
S20250505-Or-Mo-8603,2025-05-05,,Organic,Mobile,/,113,33
S20250505-Re-De-4246,2025-05-05,,Referral,Desktop,/,13,4
S20250505-Re-Mo-2316,2025-05-05,,Referral,Mobile,/,37,14
S20250506-Pa-De-5604,2025-05-06,,Paid Search,Desktop,/,17,5
S20250506-Pa-Mo-1616,2025-05-06,,Paid Search,Mobile,/,83,23
S20250506-Pa-De-4534,2025-05-06,,Paid Social,Desktop,/,14,7
S20250506-Pa-Mo-4812,2025-05-06,,Paid Social,Mobile,/,81,44
S20250506-Em-De-6221,2025-05-06,,Email,Desktop,/,4,1
S20250506-Em-Mo-1209,2025-05-06,,Email,Mobile,/,39,11
S20250506-Or-De-9483,2025-05-06,,Organic,Desktop,/,56,21
S20250506-Or-Mo-3864,2025-05-06,,Organic,Mobile,/,62,24
S20250506-Re-De-4283,2025-05-06,,Referral,Desktop,/,2,0
S20250506-Re-Mo-2461,2025-05-06,,Referral,Mobile,/,23,4
S20250507-Pa-De-5051,2025-05-07,,Paid Search,Desktop,/,14,5
S20250507-Pa-Mo-9751,2025-05-07,,Paid Search,Mobile,/,123,44
S20250507-Pa-De-6972,2025-05-07,,Paid Social,Desktop,/,20,10
S20250507-Pa-Mo-6368,2025-05-07,,Paid Social,Mobile,/,113,58
S20250507-Em-De-8823,2025-05-07,,Email,Desktop,/,25,8
S20250507-Em-Mo-5607,2025-05-07,,Email,Mobile,/,46,16
