order_id,order_date,customer_id,product_id,quantity,unit_price,discount,cogs,channel,campaign,device,session_id,order_value
700018,2025-04-01,50267,10018,1,89.4,0.0,44.84,Organic,SEO,Mobile,SYN-20250401-64288,89.4
700019,2025-04-01,53917,10117,1,52.96,0.049,26.67,Email,Reactivation,Mobile,SYN-20250401-61452,50.35
700020,2025-04-01,51727,10001,2,22.92,0.093,24.76,Organic,SEO,Desktop,SYN-20250401-40111,41.56
700021,2025-04-01,52683,10069,1,32.27,0.0,13.59,Paid Social,Retargeting,Mobile,SYN-20250401-59901,32.27
700022,2025-04-01,53080,10033,1,45.73,0.0,19.57,Paid Search,Shopping,Mobile,SYN-20250401-42388,45.73
700023,2025-04-01,51779,10111,1,31.14,0.0,11.84,Paid Search,Brand,Mobile,SYN-20250401-41377,31.14
700024,2025-04-01,52754,10113,2,53.54,0.072,51.82,Paid Search,Brand,Desktop,SYN-20250401-46004,99.41
700025,2025-04-01,50124,10094,1,43.6,0.0,24.54,Email,Promo,Desktop,SYN-20250401-41084,43.6
700026,2025-04-01,50962,10118,2,33.42,0.0,35.62,Paid Social,Retargeting,Desktop,SYN-20250401-12346,66.83
700027,2025-04-01,50708,10089,1,37.67,0.119,17.14,Paid Search,Brand,Desktop,SYN-20250401-72724,33.18
700028,2025-04-01,52854,10043,1,27.84,0.053,13.52,Referral,Affiliates,Desktop,SYN-20250401-40988,26.36
700029,2025-04-01,53759,10025,1,36.04,0.176,28.97,Email,Welcome,Desktop,SYN-20250401-57083,29.68
700030,2025-04-01,54753,10005,2,23.46,0.063,18.86,Paid Search,Non-Brand,Mobile,SYN-20250401-55572,43.99
700031,2025-04-01,54545,10099,1,69.89,0.0,46.63,Referral,Affiliates,Mobile,SYN-20250401-47994,69.89
700032,2025-04-01,54197,10087,1,40.06,0.028,20.44,Paid Search,Non-Brand,Mobile,SYN-20250401-61512,38.93
700033,2025-04-01,54678,10065,2,95.5,0.059,101.4,Paid Search,Shopping,Mobile,SYN-20250401-37907,179.66
700034,2025-04-01,50024,10083,1,69.19,0.004,42.99,Paid Search,Brand,Desktop,SYN-20250401-73610,68.94
700035,2025-04-01,52855,10075,1,38.05,0.0,17.16,Paid Search,Shopping,Mobile,SYN-20250401-62802,38.05
700036,2025-04-01,54218,10107,6,34.73,0.0,130.14,Organic,SEO,Mobile,SYN-20250401-86016,208.36
700037,2025-04-01,53675,10030,1,78.44,0.066,50.14,Organic,SEO,Mobile,SYN-20250401-41866,73.22
700038,2025-04-01,52335,10053,1,52.56,0.0,26.56,Paid Search,Non-Brand,Desktop,SYN-20250401-21115,52.56
700039,2025-04-01,51848,10036,2,31.06,0.0,38.92,Email,Promo,Mobile,SYN-20250401-64004,62.12
700040,2025-04-01,53337,10059,1,25.32,0.0,12.1,Paid Search,Non-Brand,Desktop,SYN-20250401-83138,25.32
700041,2025-04-01,51363,10013,2,24.27,0.0,24.32,Paid Social,Retargeting,Mobile,SYN-20250401-15329,48.53
700042,2025-04-01,53038,10043,1,30.25,0.0,13.52,Email,Welcome,Desktop,SYN-20250401-79871,30.25
700043,2025-04-01,50839,10030,1,82.64,0.0,50.14,Paid Search,Brand,Mobile,SYN-20250401-61962,82.64
700044,2025-04-01,54537,10114,1,36.9,0.0,19.04,Referral,Affiliates,Mobile,SYN-20250401-67774,36.9
700045,2025-04-01,53259,10004,2,31.89,0.0,21.56,Paid Search,Shopping,Mobile,SYN-20250401-23549,63.77
700046,2025-04-01,50334,10044,1,95.77,0.0,43.9,Paid Search,Non-Brand,Mobile,SYN-20250401-99364,95.77
700047,2025-04-01,53687,10021,1,25.15,0.0,12.89,Paid Social,Retargeting,Desktop,SYN-20250401-48793,25.15
700048,2025-04-01,52131,10074,1,51.18,0.0,24.67,Paid Social,CreativeTest,Mobile,SYN-20250401-32681,51.18
700049,2025-04-01,54443,10025,1,39.9,0.04,28.97,Organic,SEO,Mobile,SYN-20250401-84603,38.29
700050,2025-04-01,53721,10022,1,33.02,0.0,19.65,Paid Social,Retargeting,Mobile,SYN-20250401-46677,33.02
700051,2025-04-01,54017,10081,1,26.99,0.0,13.02,Paid Search,Non-Brand,Desktop,SYN-20250401-90563,26.99
700052,2025-04-01,54057,10113,1,49.69,0.0,25.91,Paid Social,Retargeting,Mobile,SYN-20250401-38595,49.69
700053,2025-04-01,52762,10094,1,46.36,0.0,24.54,Paid Social,Retargeting,Desktop,SYN-20250401-31005,46.36
700054,2025-04-01,54918,10092,1,36.58,0.0,18.58,Organic,SEO,Desktop,SYN-20250401-46481,36.58
700055,2025-04-01,50939,10045,2,28.28,0.0,23.42,Paid Search,Shopping,Mobile,SYN-20250401-26342,56.55
700056,2025-04-01,54194,10025,1,37.05,0.076,28.97,Organic,SEO,Desktop,SYN-20250401-90274,34.24
700057,2025-04-01,53375,10038,1,47.96,0.139,24.62,Paid Search,Shopping,Desktop,SYN-20250401-73151,41.31
700058,2025-04-01,53866,10086,1,58.03,0.0,22.02,Paid Search,Brand,Desktop,SYN-20250401-78613,58.03
700059,2025-04-01,53814,10012,3,24.72,0.0,34.35,Email,Welcome,Mobile,SYN-20250401-92656,74.17
700060,2025-04-01,50779,10067,2,27.71,0.057,28.5,Paid Social,Prospecting,Mobile,SYN-20250401-81233,52.28
700061,2025-04-01,52848,10016,1,26.13,0.102,12.98,Paid Search,Shopping,Desktop,SYN-20250401-20458,23.46
700062,2025-04-01,53852,10080,1,51.08,0.061,31.66,Referral,Affiliates,Desktop,SYN-20250401-50975,47.98
700063,2025-04-01,51571,10055,4,47.58,0.0,104.36,Paid Search,Brand,Desktop,SYN-20250401-38283,190.34
700064,2025-04-01,54658,10013,1,24.01,0.065,12.16,Organic,SEO,Desktop,SYN-20250401-73643,22.46
700065,2025-04-01,53066,10109,4,42.53,0.041,93.4,Organic,SEO,Mobile,SYN-20250401-69322,163.18
700066,2025-04-01,53171,10021,1,24.61,0.0,12.89,Organic,SEO,Desktop,SYN-20250401-97427,24.61
700067,2025-04-01,54966,10032,2,100.25,0.0,81.08,Referral,Affiliates,Mobile,SYN-20250401-13875,200.5
700068,2025-04-01,51253,10040,1,40.4,0.0,18.53,Organic,SEO,Desktop,SYN-20250401-51677,40.4
700069,2025-04-01,53909,10021,1,26.1,0.043,12.89,Referral,Affiliates,Desktop,SYN-20250401-32183,24.98
700070,2025-04-01,54100,10070,1,80.87,0.038,50.23,Organic,SEO,Desktop,SYN-20250401-78136,77.82
700071,2025-04-01,50743,10023,3,67.78,0.0,85.47,Organic,SEO,Mobile,SYN-20250401-31407,203.35
700072,2025-04-01,52456,10014,4,53.7,0.0,102.6,Organic,SEO,Desktop,SYN-20250401-23617,214.82
700073,2025-04-01,53396,10091,1,29.29,0.044,11.99,Organic,SEO,Desktop,SYN-20250401-36981,27.99
700074,2025-04-01,54571,10075,3,38.35,0.0,51.48,Organic,SEO,Mobile,SYN-20250401-74271,115.04
700075,2025-04-01,52295,10093,1,56.14,0.0,28.25,Email,Reactivation,Mobile,SYN-20250401-34816,56.14
700076,2025-04-01,54792,10096,2,58.01,0.0,68.06,Organic,SEO,Mobile,SYN-20250401-94325,116.03
700077,2025-04-01,52109,10095,2,32.65,0.0,36.2,Email,Welcome,Desktop,SYN-20250401-99534,65.31
700078,2025-04-01,50916,10022,1,31.27,0.0,19.65,Organic,SEO,Desktop,SYN-20250401-52761,31.27
700079,2025-04-01,52852,10106,1,59.94,0.0,23.7,Organic,SEO,Desktop,SYN-20250401-76865,59.94
700080,2025-04-01,51424,10089,2,41.36,0.0,34.28,Organic,SEO,Desktop,SYN-20250401-82709,82.71
700081,2025-04-01,51079,10083,2,72.85,0.0,85.98,Referral,Affiliates,Mobile,SYN-20250401-59239,145.71
700082,2025-04-01,54452,10065,1,99.13,0.0,50.7,Organic,SEO,Mobile,SYN-20250401-39947,99.13
700083,2025-04-01,53951,10007,2,77.19,0.0,98.52,Organic,SEO,Desktop,SYN-20250401-47804,154.39
700084,2025-04-01,50440,10019,2,88.84,0.0,89.46,Organic,SEO,Mobile,SYN-20250401-36061,177.68
700085,2025-04-01,51406,10098,2,39.44,0.0,28.36,Organic,SEO,Desktop,SYN-20250401-93838,78.88
700086,2025-04-01,50339,10048,1,30.93,0.021,17.6,Organic,SEO,Desktop,SYN-20250401-18478,30.29
700087,2025-04-01,54308,10025,1,36.87,0.0,28.97,Organic,SEO,Mobile,SYN-20250401-92806,36.87
700088,2025-04-01,54042,10034,3,34.58,0.1,48.27,Organic,SEO,Desktop,SYN-20250401-73579,93.41
700089,2025-04-01,51698,10029,2,37.16,0.0,35.06,Organic,SEO,Desktop,SYN-20250401-59849,74.33
700090,2025-04-01,51031,10057,3,45.37,0.051,61.2,Organic,SEO,Mobile,SYN-20250401-34439,129.2
700091,2025-04-01,52116,10078,1,48.35,0.07,27.94,Organic,SEO,Mobile,SYN-20250401-33354,44.97
700092,2025-04-01,53091,10108,2,68.54,0.0,67.54,Organic,SEO,Mobile,SYN-20250401-58530,137.08
700093,2025-04-01,51630,10022,1,31.47,0.0,19.65,Organic,SEO,Mobile,SYN-20250401-39490,31.47
700094,2025-04-01,54711,10081,2,26.11,0.0,26.04,Organic,SEO,Mobile,SYN-20250401-20904,52.22
700095,2025-04-01,52619,10077,1,53.16,0.0,30.45,Email,Welcome,Mobile,SYN-20250401-22565,53.16
700096,2025-04-01,53483,10063,3,49.18,0.076,69.99,Organic,SEO,Mobile,SYN-20250401-14836,136.36
700097,2025-04-01,51906,10058,2,32.1,0.106,44.34,Organic,SEO,Desktop,SYN-20250401-51741,57.38
700098,2025-04-01,53033,10028,2,21.56,0.052,24.14,Email,Welcome,Mobile,SYN-20250401-16572,40.85
700099,2025-04-02,50100,10044,2,107.41,0.014,87.8,Email,Promo,Mobile,SYN-20250402-79056,211.89
700100,2025-04-02,52394,10040,3,37.48,0.0,55.59,Paid Social,Prospecting,Desktop,SYN-20250402-19178,112.43
700101,2025-04-02,52471,10064,2,43.73,0.061,34.3,Paid Social,Retargeting,Mobile,SYN-20250402-27536,82.13
700102,2025-04-02,51299,10001,1,23.45,0.0,12.38,Organic,SEO,Desktop,SYN-20250402-80699,23.45
700103,2025-04-02,50919,10097,3,81.25,0.0,148.17,Paid Search,Non-Brand,Desktop,SYN-20250402-46294,243.74
700104,2025-04-02,51132,10103,1,26.03,0.0,11.93,Referral,Affiliates,Desktop,SYN-20250402-53964,26.03
700105,2025-04-02,51581,10007,1,79.84,0.025,49.26,Email,Welcome,Mobile,SYN-20250402-57458,77.85
700106,2025-04-02,53382,10029,2,36.7,0.0,35.06,Email,Promo,Desktop,SYN-20250402-93325,73.41
700107,2025-04-02,51888,10007,2,85.59,0.0,98.52,Paid Search,Shopping,Desktop,SYN-20250402-30636,171.17
700108,2025-04-02,50201,10005,1,28.2,0.027,9.43,Paid Search,Brand,Mobile,SYN-20250402-27516,27.43
700109,2025-04-02,50955,10095,3,34.7,0.0,54.3,Email,Promo,Desktop,SYN-20250402-81339,104.1
700110,2025-04-02,50911,10029,1,35.82,0.081,17.53,Paid Search,Brand,Mobile,SYN-20250402-41460,32.92
700111,2025-04-02,50825,10094,1,47.76,0.0,24.54,Paid Search,Shopping,Mobile,SYN-20250402-34716,47.76
700112,2025-04-02,54193,10015,1,40.42,0.0,26.64,Paid Social,Retargeting,Desktop,SYN-20250402-21631,40.42
700113,2025-04-02,54631,10009,1,34.4,0.0,18.7,Paid Social,Retargeting,Mobile,SYN-20250402-50610,34.4
700114,2025-04-02,54397,10008,1,24.34,0.0,11.98,Paid Search,Non-Brand,Mobile,SYN-20250402-90681,24.34
700115,2025-04-02,51596,10056,2,93.26,0.064,98.58,Paid Search,Shopping,Mobile,SYN-20250402-60705,174.64
700116,2025-04-02,52876,10028,3,20.83,0.09,36.21,Paid Social,CreativeTest,Mobile,SYN-20250402-47734,56.84
700117,2025-04-02,53507,10069,1,34.44,0.0,13.59,Organic,SEO,Desktop,SYN-20250402-57562,34.44
700118,2025-04-02,53105,10009,1,30.11,0.0,18.7,Organic,SEO,Desktop,SYN-20250402-24325,30.11
700119,2025-04-02,50556,10078,2,46.72,0.059,55.88,Paid Search,Brand,Mobile,SYN-20250402-39882,87.97
700120,2025-04-02,53001,10112,1,41.17,0.0,32.54,Paid Social,CreativeTest,Desktop,SYN-20250402-53060,41.17
700121,2025-04-02,54643,10113,1,47.58,0.079,25.91,Paid Search,Brand,Mobile,SYN-20250402-30405,43.81
700122,2025-04-02,52078,10019,2,84.84,0.0,89.46,Paid Social,Retargeting,Mobile,SYN-20250402-54228,169.68
700123,2025-04-02,54905,10035,1,58.52,0.0,27.55,Organic,SEO,Desktop,SYN-20250402-44768,58.52
700124,2025-04-02,54573,10084,2,44.04,0.0,59.5,Paid Social,CreativeTest,Mobile,SYN-20250402-13777,88.08
700125,2025-04-02,52567,10049,2,35.01,0.056,38.66,Referral,Affiliates,Desktop,SYN-20250402-42566,66.07
700126,2025-04-02,54693,10091,1,28.68,0.016,11.99,Paid Social,Retargeting,Mobile,SYN-20250402-84381,28.22
700127,2025-04-02,53131,10057,1,42.89,0.008,20.4,Paid Social,Prospecting,Mobile,SYN-20250402-95612,42.57
700128,2025-04-02,53416,10085,2,30.0,0.0,35.96,Paid Search,Non-Brand,Mobile,SYN-20250402-69130,59.99
700129,2025-04-02,50489,10112,1,40.67,0.0,32.54,Paid Search,Shopping,Desktop,SYN-20250402-89926,40.67
700130,2025-04-02,50716,10091,1,26.41,0.0,11.99,Paid Social,Retargeting,Mobile,SYN-20250402-52479,26.41
700131,2025-04-02,54311,10016,2,24.71,0.0,25.96,Paid Social,Retargeting,Mobile,SYN-20250402-62254,49.41
700132,2025-04-02,50168,10027,1,69.16,0.0,51.32,Organic,SEO,Mobile,SYN-20250402-53912,69.16
700133,2025-04-02,50888,10108,1,64.45,0.0,33.77,Paid Search,Non-Brand,Desktop,SYN-20250402-62095,64.45
700134,2025-04-02,53937,10084,1,46.74,0.0,29.75,Organic,SEO,Desktop,SYN-20250402-81023,46.74
700135,2025-04-02,50344,10056,2,86.27,0.0,98.58,Paid Search,Shopping,Desktop,SYN-20250402-93248,172.54
700136,2025-04-02,52094,10120,2,55.35,0.0,52.08,Organic,SEO,Mobile,SYN-20250402-21428,110.7
700137,2025-04-02,51868,10091,2,25.31,0.0,23.98,Email,Promo,Mobile,SYN-20250402-38507,50.62
700138,2025-04-02,50437,10102,1,24.63,0.065,11.86,Organic,SEO,Mobile,SYN-20250402-63161,23.03
700139,2025-04-02,54873,10007,1,92.52,0.011,49.26,Organic,SEO,Mobile,SYN-20250402-22511,91.49
700140,2025-04-02,51277,10032,1,98.77,0.034,40.54,Organic,SEO,Mobile,SYN-20250402-73910,95.42
700141,2025-04-02,51353,10036,1,31.55,0.0,19.46,Organic,SEO,Mobile,SYN-20250402-23853,31.55
700142,2025-04-02,50009,10001,1,26.63,0.0,12.38,Organic,SEO,Desktop,SYN-20250402-53657,26.63
700143,2025-04-02,54241,10017,1,42.85,0.0,23.82,Organic,SEO,Mobile,SYN-20250402-55016,42.85
700144,2025-04-02,52298,10055,2,45.45,0.0,52.18,Organic,SEO,Desktop,SYN-20250402-44817,90.9
700145,2025-04-02,50857,10114,1,38.86,0.0,19.04,Organic,SEO,Desktop,SYN-20250402-18761,38.86
700146,2025-04-02,50198,10118,1,31.26,0.0,17.81,Referral,Affiliates,Mobile,SYN-20250402-33649,31.26
700147,2025-04-02,50712,10021,2,24.77,0.046,25.78,Organic,SEO,Mobile,SYN-20250402-80090,47.27
700148,2025-04-02,51058,10103,2,27.31,0.053,23.86,Organic,SEO,Mobile,SYN-20250402-53423,51.7
700149,2025-04-02,51617,10046,1,91.26,0.095,43.81,Referral,Affiliates,Desktop,SYN-20250402-66184,82.56
700150,2025-04-02,51370,10053,2,52.68,0.098,53.12,Organic,SEO,Mobile,SYN-20250402-11167,95.04
700151,2025-04-02,50257,10118,1,33.63,0.0,17.81,Organic,SEO,Mobile,SYN-20250402-90952,33.63
700152,2025-04-02,54760,10020,1,99.59,0.0,44.01,Organic,SEO,Mobile,SYN-20250402-93045,99.59
700153,2025-04-02,51398,10025,2,41.14,0.084,57.94,Referral,Affiliates,Mobile,SYN-20250402-17287,75.36
700154,2025-04-02,51476,10006,1,87.26,0.0,42.55,Email,Welcome,Mobile,SYN-20250402-95654,87.26
700155,2025-04-02,52046,10030,3,83.45,0.0,150.42,Organic,SEO,Mobile,SYN-20250402-10919,250.35
700156,2025-04-03,54394,10020,3,97.63,0.0,132.03,Email,Welcome,Desktop,SYN-20250403-19632,292.89
700157,2025-04-03,53372,10109,1,43.68,0.0,23.35,Paid Social,Retargeting,Desktop,SYN-20250403-17346,43.68
700158,2025-04-03,51772,10059,1,26.28,0.0,12.1,Paid Search,Non-Brand,Mobile,SYN-20250403-27261,26.28
700159,2025-04-03,54043,10088,1,59.11,0.0,26.68,Paid Search,Shopping,Mobile,SYN-20250403-26587,59.11
700160,2025-04-03,54677,10080,1,56.55,0.0,31.66,Organic,SEO,Mobile,SYN-20250403-84261,56.55
700161,2025-04-03,50740,10047,1,32.42,0.0,19.76,Paid Search,Non-Brand,Desktop,SYN-20250403-75106,32.42
700162,2025-04-03,54316,10093,1,61.8,0.066,28.25,Organic,SEO,Desktop,SYN-20250403-97183,57.72
700163,2025-04-03,50531,10064,3,39.55,0.09,51.45,Paid Search,Shopping,Desktop,SYN-20250403-13602,107.98
700164,2025-04-03,50859,10072,1,94.19,0.022,52.14,Paid Search,Brand,Desktop,SYN-20250403-26776,92.11
700165,2025-04-03,53518,10067,1,25.96,0.0,14.25,Referral,Affiliates,Mobile,SYN-20250403-45151,25.96
700166,2025-04-03,53722,10085,1,33.41,0.0,17.98,Organic,SEO,Mobile,SYN-20250403-80023,33.41
700167,2025-04-03,52296,10105,1,48.34,0.0,23.52,Paid Social,CreativeTest,Mobile,SYN-20250403-16769,48.34
700168,2025-04-03,52103,10117,3,48.92,0.003,80.01,Paid Search,Brand,Desktop,SYN-20250403-17258,146.39
700169,2025-04-03,51774,10114,2,35.87,0.0,38.08,Paid Search,Non-Brand,Desktop,SYN-20250403-19306,71.75
700170,2025-04-03,50014,10020,1,96.13,0.0,44.01,Email,Welcome,Mobile,SYN-20250403-60010,96.13
700171,2025-04-03,51998,10081,2,25.09,0.0,26.04,Paid Search,Shopping,Mobile,SYN-20250403-26630,50.18
700172,2025-04-03,52578,10081,1,27.7,0.102,13.02,Paid Search,Non-Brand,Mobile,SYN-20250403-23031,24.87
700173,2025-04-03,52921,10050,4,30.56,0.0,45.84,Organic,SEO,Mobile,SYN-20250403-27464,122.23
700174,2025-04-03,50659,10029,2,39.22,0.0,35.06,Organic,SEO,Mobile,SYN-20250403-89172,78.43
700175,2025-04-03,54637,10012,2,24.08,0.04,22.9,Paid Social,CreativeTest,Desktop,SYN-20250403-91460,46.24
700176,2025-04-03,54046,10044,2,102.34,0.073,87.8,Organic,SEO,Mobile,SYN-20250403-72422,189.81
700177,2025-04-03,52291,10014,1,57.04,0.0,25.65,Organic,SEO,Mobile,SYN-20250403-24559,57.04
700178,2025-04-03,54035,10112,1,44.1,0.0,32.54,Paid Search,Brand,Mobile,SYN-20250403-72490,44.1
700179,2025-04-03,53835,10021,2,24.42,0.0,25.78,Paid Search,Non-Brand,Mobile,SYN-20250403-61075,48.84
700180,2025-04-03,53125,10100,1,37.83,0.0,15.62,Paid Social,Prospecting,Mobile,SYN-20250403-71623,37.83
700181,2025-04-03,52141,10024,1,39.81,0.0,17.29,Referral,Affiliates,Desktop,SYN-20250403-68747,39.81
700182,2025-04-03,50239,10107,2,35.36,0.0,43.38,Paid Social,CreativeTest,Desktop,SYN-20250403-44275,70.71
700183,2025-04-03,54962,10101,1,49.59,0.0,23.32,Paid Social,Retargeting,Mobile,SYN-20250403-73418,49.59
700184,2025-04-03,53014,10095,1,33.76,0.0,18.1,Paid Search,Brand,Mobile,SYN-20250403-82498,33.76
700185,2025-04-03,50605,10061,1,113.78,0.0,53.3,Organic,SEO,Desktop,SYN-20250403-53079,113.78
700186,2025-04-03,54718,10050,1,33.63,0.0,11.46,Paid Social,CreativeTest,Mobile,SYN-20250403-99604,33.63
700187,2025-04-03,54434,10115,2,95.21,0.117,89.32,Paid Search,Shopping,Mobile,SYN-20250403-37999,168.23
700188,2025-04-03,53017,10030,1,81.81,0.0,50.14,Paid Search,Brand,Desktop,SYN-20250403-53072,81.81
700189,2025-04-03,51639,10042,3,39.13,0.0,48.75,Organic,SEO,Desktop,SYN-20250403-89444,117.38
700190,2025-04-03,50156,10101,1,48.85,0.087,23.32,Paid Social,CreativeTest,Mobile,SYN-20250403-77166,44.59
700191,2025-04-03,51146,10091,1,27.34,0.0,11.99,Organic,SEO,Mobile,SYN-20250403-35602,27.34
700192,2025-04-03,54102,10020,1,104.38,0.0,44.01,Email,Welcome,Mobile,SYN-20250403-74486,104.38
700193,2025-04-03,54480,10066,1,102.21,0.0,38.16,Referral,Affiliates,Mobile,SYN-20250403-57947,102.21
700194,2025-04-03,54958,10115,1,97.64,0.0,44.66,Paid Search,Non-Brand,Mobile,SYN-20250403-98183,97.64
700195,2025-04-03,51773,10005,2,24.16,0.0,18.86,Paid Social,Retargeting,Mobile,SYN-20250403-35692,48.31
700196,2025-04-03,52006,10010,2,103.77,0.0,78.04,Paid Search,Shopping,Desktop,SYN-20250403-85859,207.53
700197,2025-04-03,54465,10006,1,95.17,0.002,42.55,Paid Search,Shopping,Mobile,SYN-20250403-35025,94.94
700198,2025-04-03,51725,10028,1,25.22,0.0,12.07,Paid Social,CreativeTest,Mobile,SYN-20250403-72049,25.22
700199,2025-04-03,51488,10053,1,53.9,0.0,26.56,Paid Social,CreativeTest,Desktop,SYN-20250403-53442,53.9
700200,2025-04-03,54074,10020,2,108.69,0.069,88.02,Organic,SEO,Mobile,SYN-20250403-57684,202.47
700201,2025-04-03,52395,10095,1,34.8,0.0,18.1,Paid Social,Retargeting,Desktop,SYN-20250403-41137,34.8
700202,2025-04-03,50884,10057,2,43.89,0.0,40.8,Referral,Affiliates,Mobile,SYN-20250403-85471,87.77
700203,2025-04-03,52679,10053,1,53.02,0.004,26.56,Paid Search,Shopping,Mobile,SYN-20250403-78645,52.81
700204,2025-04-03,50366,10004,2,31.48,0.0,21.56,Paid Search,Non-Brand,Mobile,SYN-20250403-38646,62.96
700205,2025-04-03,52027,10074,1,49.18,0.0,24.67,Organic,SEO,Desktop,SYN-20250403-31640,49.18
700206,2025-04-03,52130,10062,2,52.49,0.061,38.28,Paid Social,CreativeTest,Mobile,SYN-20250403-99727,98.59
700207,2025-04-03,53125,10100,4,36.04,0.002,62.48,Paid Social,Prospecting,Mobile,SYN-20250403-14631,143.8
700208,2025-04-03,52163,10092,2,34.76,0.0,37.16,Referral,Affiliates,Desktop,SYN-20250403-64492,69.52
700209,2025-04-03,52786,10105,2,47.36,0.041,47.04,Email,Reactivation,Desktop,SYN-20250403-36560,90.81
700210,2025-04-03,51692,10058,3,31.4,0.0,66.51,Organic,SEO,Desktop,SYN-20250403-28958,94.19
700211,2025-04-03,52197,10021,1,24.69,0.085,12.89,Organic,SEO,Mobile,SYN-20250403-80418,22.58
700212,2025-04-03,54432,10030,1,84.23,0.124,50.14,Paid Search,Shopping,Desktop,SYN-20250403-19923,73.77
700213,2025-04-03,51653,10036,2,30.72,0.0,38.92,Organic,SEO,Mobile,SYN-20250403-71749,61.43
700214,2025-04-03,52400,10092,1,34.18,0.042,18.58,Paid Social,CreativeTest,Mobile,SYN-20250403-95440,32.76
700215,2025-04-03,53423,10084,1,45.15,0.0,29.75,Organic,SEO,Desktop,SYN-20250403-65421,45.15
700216,2025-04-03,52960,10073,2,29.03,0.0,24.18,Organic,SEO,Desktop,SYN-20250403-49654,58.06
700217,2025-04-03,52285,10096,2,56.82,0.088,68.06,Organic,SEO,Desktop,SYN-20250403-67644,103.61
700218,2025-04-03,50195,10026,1,28.78,0.0,11.81,Organic,SEO,Mobile,SYN-20250403-44056,28.78
700219,2025-04-03,53248,10096,1,60.45,0.0,34.03,Organic,SEO,Mobile,SYN-20250403-16338,60.45
700220,2025-04-03,52043,10021,4,27.83,0.0,51.56,Organic,SEO,Mobile,SYN-20250403-77498,111.33
700221,2025-04-03,53449,10112,1,39.73,0.0,32.54,Organic,SEO,Mobile,SYN-20250403-25819,39.73
700222,2025-04-03,51884,10084,1,47.15,0.0,29.75,Organic,SEO,Mobile,SYN-20250403-59823,47.15
700223,2025-04-03,51139,10080,1,54.25,0.0,31.66,Organic,SEO,Desktop,SYN-20250403-71662,54.25
700224,2025-04-03,53711,10054,1,30.62,0.0,12.62,Organic,SEO,Mobile,SYN-20250403-43690,30.62
700225,2025-04-03,51551,10039,2,30.76,0.0,21.92,Organic,SEO,Desktop,SYN-20250403-96217,61.51
700226,2025-04-03,51558,10033,1,42.36,0.08,19.57,Organic,SEO,Mobile,SYN-20250403-41627,38.96
700227,2025-04-03,50984,10035,1,55.61,0.0,27.55,Referral,Affiliates,Desktop,SYN-20250403-57878,55.61
700228,2025-04-03,51758,10095,1,35.03,0.0,18.1,Organic,SEO,Mobile,SYN-20250403-22566,35.03
700229,2025-04-03,50376,10019,3,80.24,0.0,134.19,Organic,SEO,Desktop,SYN-20250403-19009,240.71
700230,2025-04-03,50053,10086,1,54.23,0.0,22.02,Organic,SEO,Desktop,SYN-20250403-45353,54.23
700231,2025-04-03,52326,10067,1,28.29,0.0,14.25,Email,Promo,Mobile,SYN-20250403-24480,28.29
700232,2025-04-03,54649,10076,1,53.18,0.0,30.52,Organic,SEO,Mobile,SYN-20250403-58071,53.18
