date,channel,campaign,adgroup,impressions,clicks,spend,conversions,revenue_attributed
2025-04-09,Paid Search,Brand,default,13453,766,365.31,22,1331.29
2025-04-09,Paid Search,Non-Brand,default,14666,757,364.53,25,1684.42
2025-04-09,Paid Search,Shopping,default,14731,446,332.01,12,640.84
2025-04-09,Paid Social,Prospecting,default,17877,262,68.67,6,453.78
2025-04-09,Paid Social,Retargeting,default,11004,336,167.26,5,237.36
2025-04-09,Paid Social,CreativeTest,default,10303,226,43.11,7,386.01
2025-04-09,Email,Welcome,default,2123,82,69.41,2,197.76
2025-04-09,Email,Promo,default,3456,215,82.06,7,392.29
2025-04-09,Email,Reactivation,default,500,38,49.17,3,235.92
2025-04-10,Paid Search,Brand,default,15445,897,325.62,28,1690.5
2025-04-10,Paid Search,Non-Brand,default,13367,682,388.13,19,861.59
2025-04-10,Paid Search,Shopping,default,10103,430,233.92,15,888.38
2025-04-10,Paid Social,Prospecting,default,11276,178,85.51,4,267.55
2025-04-10,Paid Social,Retargeting,default,8041,117,32.38,0,0.0
2025-04-10,Paid Social,CreativeTest,default,11808,228,74.53,2,158.29
2025-04-10,Email,Welcome,default,3896,308,91.57,9,539.01
2025-04-10,Email,Promo,default,1655,183,76.26,7,510.57
2025-04-10,Email,Reactivation,default,1984,160,90.67,2,157.9
2025-04-11,Paid Search,Brand,default,10186,391,277.97,7,366.76
2025-04-11,Paid Search,Non-Brand,default,13275,500,321.47,20,1715.37
2025-04-11,Paid Search,Shopping,default,12235,676,352.92,18,1628.56
2025-04-11,Paid Social,Prospecting,default,5749,122,47.28,0,0.0
2025-04-11,Paid Social,Retargeting,default,7937,191,86.81,1,51.25
2025-04-11,Paid Social,CreativeTest,default,10693,281,97.3,6,435.84
2025-04-11,Email,Welcome,default,3815,295,42.52,11,534.99
2025-04-11,Email,Promo,default,3402,396,45.36,12,353.25
2025-04-11,Email,Reactivation,default,4778,310,71.12,10,780.4
2025-04-12,Paid Search,Brand,default,9475,419,149.98,12,846.22
2025-04-12,Paid Search,Non-Brand,default,11253,586,339.57,18,1644.73
2025-04-12,Paid Search,Shopping,default,14490,797,505.22,26,1662.87
2025-04-12,Paid Social,Prospecting,default,14208,160,91.62,4,336.88
2025-04-12,Paid Social,Retargeting,default,9488,257,81.21,2,151.67
2025-04-12,Paid Social,CreativeTest,default,16525,208,67.28,5,368.33
2025-04-12,Email,Welcome,default,3034,273,26.39,11,338.05
2025-04-12,Email,Promo,default,2630,181,72.44,5,408.72
2025-04-12,Email,Reactivation,default,6905,493,49.44,20,1553.49
2025-04-13,Paid Search,Brand,default,9244,511,311.6,14,902.67
2025-04-13,Paid Search,Non-Brand,default,9720,434,188.47,9,447.45
2025-04-13,Paid Search,Shopping,default,14976,657,268.17,20,1742.11
2025-04-13,Paid Social,Prospecting,default,9396,179,46.97,5,316.3
2025-04-13,Paid Social,Retargeting,default,11426,231,137.75,2,109.99
2025-04-13,Paid Social,CreativeTest,default,15810,312,104.94,7,599.42
2025-04-13,Email,Welcome,default,5892,572,42.61,18,680.43
2025-04-13,Email,Promo,default,662,37,52.16,2,106.25
2025-04-13,Email,Reactivation,default,5625,442,62.53,16,1029.72
2025-04-14,Paid Search,Brand,default,12582,545,228.06,14,460.47
2025-04-14,Paid Search,Non-Brand,default,13847,514,220.1,12,744.91
2025-04-14,Paid Search,Shopping,default,12192,612,268.2,18,774.0
2025-04-14,Paid Social,Prospecting,default,10762,207,89.94,2,147.19
2025-04-14,Paid Social,Retargeting,default,14390,202,65.12,1,62.58
2025-04-14,Paid Social,CreativeTest,default,15681,255,109.08,3,167.02
2025-04-14,Email,Welcome,default,4094,384,61.79,8,635.14
2025-04-14,Email,Promo,default,7256,261,82.25,7,519.46
2025-04-14,Email,Reactivation,default,500,46,15.0,2,130.84
2025-04-15,Paid Search,Brand,default,11590,551,348.08,13,834.64
2025-04-15,Paid Search,Non-Brand,default,7549,362,239.02,8,452.6
2025-04-15,Paid Search,Shopping,default,13152,647,418.79,14,1316.65
2025-04-15,Paid Social,Prospecting,default,15346,375,166.22,5,226.55
2025-04-15,Paid Social,Retargeting,default,10738,180,64.17,1,33.89
2025-04-15,Paid Social,CreativeTest,default,9976,255,110.76,3,199.79
2025-04-15,Email,Welcome,default,2728,63,73.31,2,196.77
2025-04-15,Email,Promo,default,6383,334,58.47,8,408.16
2025-04-15,Email,Reactivation,default,4514,205,84.26,10,681.03
2025-04-16,Paid Search,Brand,default,10064,416,224.68,8,636.82
2025-04-16,Paid Search,Non-Brand,default,13347,456,173.65,11,916.14
2025-04-16,Paid Search,Shopping,default,10260,362,194.28,8,364.28
2025-04-16,Paid Social,Prospecting,default,12441,166,77.37,6,470.83
2025-04-16,Paid Social,Retargeting,default,13071,304,91.7,4,256.94
2025-04-16,Paid Social,CreativeTest,default,11180,155,49.38,2,114.37
2025-04-16,Email,Welcome,default,500,61,70.16,1,64.74
2025-04-16,Email,Promo,default,6082,631,39.0,20,1487.53
2025-04-16,Email,Reactivation,default,1001,63,65.27,2,161.66
2025-04-17,Paid Search,Brand,default,16183,683,488.1,14,1453.54
2025-04-17,Paid Search,Non-Brand,default,12434,311,162.11,8,628.66
2025-04-17,Paid Search,Shopping,default,11660,459,205.21,12,299.98
2025-04-17,Paid Social,Prospecting,default,12187,233,63.15,7,559.7
2025-04-17,Paid Social,Retargeting,default,11326,160,58.34,1,73.44
2025-04-17,Paid Social,CreativeTest,default,14230,342,135.9,6,390.45
2025-04-17,Email,Welcome,default,5849,477,94.86,20,1511.91
2025-04-17,Email,Promo,default,7152,406,44.1,10,722.51
2025-04-17,Email,Reactivation,default,1506,141,36.71,5,402.12
2025-04-18,Paid Search,Brand,default,14776,638,286.39,9,521.19
2025-04-18,Paid Search,Non-Brand,default,14149,549,354.53,18,1682.42
2025-04-18,Paid Search,Shopping,default,15017,629,108.57,27,1505.17
2025-04-18,Paid Social,Prospecting,default,12012,269,90.32,5,278.29
2025-04-18,Paid Social,Retargeting,default,9220,127,35.0,3,250.47
2025-04-18,Paid Social,CreativeTest,default,8698,70,38.99,3,215.86
2025-04-18,Email,Welcome,default,5923,554,107.25,18,1040.5
2025-04-18,Email,Promo,default,7165,791,105.33,31,2318.02
2025-04-18,Email,Reactivation,default,2799,156,37.76,5,280.66
2025-04-19,Paid Search,Brand,default,10591,477,240.34,9,449.53
2025-04-19,Paid Search,Non-Brand,default,14128,461,197.12,13,577.42
2025-04-19,Paid Search,Shopping,default,8715,436,275.09,18,1002.05
2025-04-19,Paid Social,Prospecting,default,9369,136,67.79,5,269.87
2025-04-19,Paid Social,Retargeting,default,11687,316,113.39,4,210.1
2025-04-19,Paid Social,CreativeTest,default,11810,205,92.08,2,86.52
2025-04-19,Email,Welcome,default,7211,675,56.55,20,1193.88
2025-04-19,Email,Promo,default,500,34,91.54,5,216.05
2025-04-19,Email,Reactivation,default,3467,241,42.69,9,403.66
2025-04-20,Paid Search,Brand,default,12131,538,374.69,9,770.24
2025-04-20,Paid Search,Non-Brand,default,9092,411,211.68,10,512.24
2025-04-20,Paid Search,Shopping,default,14095,678,433.66,12,734.45
2025-04-20,Paid Social,Prospecting,default,10368,138,42.1,3,171.76
2025-04-20,Paid Social,Retargeting,default,14556,394,147.02,9,632.69
2025-04-20,Paid Social,CreativeTest,default,11686,252,102.33,3,198.83
2025-04-20,Email,Welcome,default,3414,350,84.4,10,844.64
2025-04-20,Email,Promo,default,8819,697,74.79,29,1724.09
2025-04-20,Email,Reactivation,default,4950,425,19.67,13,1088.33
2025-04-21,Paid Search,Brand,default,7809,346,169.48,13,1067.75
2025-04-21,Paid Search,Non-Brand,default,15377,921,527.65,21,1296.01
2025-04-21,Paid Search,Shopping,default,14820,449,197.99,12,792.51
2025-04-21,Paid Social,Prospecting,default,13540,302,112.03,7,711.96
2025-04-21,Paid Social,Retargeting,default,11237,215,81.39,1,74.28
2025-04-21,Paid Social,CreativeTest,default,13643,361,158.85,5,308.29
2025-04-21,Email,Welcome,default,3838,315,39.7,10,548.26
2025-04-21,Email,Promo,default,5143,159,15.55,10,279.52
2025-04-21,Email,Reactivation,default,505,30,70.48,2,156.45
2025-04-22,Paid Search,Brand,default,9769,348,185.64,7,677.98
2025-04-22,Paid Search,Non-Brand,default,14045,471,257.59,15,1182.47
2025-04-22,Paid Search,Shopping,default,14460,686,616.55,12,824.65
2025-04-22,Paid Social,Prospecting,default,12999,358,154.0,5,278.56
2025-04-22,Paid Social,Retargeting,default,16014,258,128.5,2,148.94
2025-04-22,Paid Social,CreativeTest,default,18316,335,137.91,4,245.79
2025-04-22,Email,Welcome,default,1556,118,72.77,1,71.81
2025-04-22,Email,Promo,default,3647,280,43.1,4,258.07
2025-04-22,Email,Reactivation,default,6034,560,69.59,22,1438.02
2025-04-23,Paid Search,Brand,default,15537,596,370.45,19,1478.84
2025-04-23,Paid Search,Non-Brand,default,16111,610,383.15,14,882.01
2025-04-23,Paid Search,Shopping,default,15179,682,360.53,13,381.21
2025-04-23,Paid Social,Prospecting,default,14322,151,58.17,4,202.35
2025-04-23,Paid Social,Retargeting,default,11354,160,80.53,4,249.1
2025-04-23,Paid Social,CreativeTest,default,12877,277,124.64,6,455.94
2025-04-23,Email,Welcome,default,2294,205,50.42,9,640.54
2025-04-23,Email,Promo,default,5852,336,107.66,5,396.23
2025-04-23,Email,Reactivation,default,9457,826,65.87,39,1396.62
2025-04-24,Paid Search,Brand,default,10862,579,281.53,16,814.99
2025-04-24,Paid Search,Non-Brand,default,13974,534,240.08,15,1708.8
2025-04-24,Paid Search,Shopping,default,9617,293,226.84,11,901.39
2025-04-24,Paid Social,Prospecting,default,13333,222,78.08,4,194.66
2025-04-24,Paid Social,Retargeting,default,13241,237,85.2,3,108.08
2025-04-24,Paid Social,CreativeTest,default,8633,172,49.94,5,327.74
2025-04-24,Email,Welcome,default,3475,251,70.85,5,276.27
2025-04-24,Email,Promo,default,500,57,57.98,0,0.0
2025-04-24,Email,Reactivation,default,1373,86,68.38,2,95.67
2025-04-25,Paid Search,Brand,default,12116,292,114.68,4,393.88
2025-04-25,Paid Search,Non-Brand,default,10778,508,234.33,10,441.9
2025-04-25,Paid Search,Shopping,default,8396,422,235.07,7,386.3
2025-04-25,Paid Social,Prospecting,default,14778,380,141.51,5,312.62
2025-04-25,Paid Social,Retargeting,default,12409,213,101.64,1,82.14
2025-04-25,Paid Social,CreativeTest,default,6013,94,37.96,1,60.84
2025-04-25,Email,Welcome,default,2940,260,61.75,4,243.96
2025-04-25,Email,Promo,default,868,76,59.46,4,271.67
2025-04-25,Email,Reactivation,default,4398,520,80.57,11,638.57
2025-04-26,Paid Search,Brand,default,16713,761,435.27,18,943.14
2025-04-26,Paid Search,Non-Brand,default,15293,613,315.56,19,1018.05
2025-04-26,Paid Search,Shopping,default,13512,463,179.66,15,325.35
2025-04-26,Paid Social,Prospecting,default,13561,68,36.17,1,99.65
2025-04-26,Paid Social,Retargeting,default,12053,179,82.63,4,198.96
2025-04-26,Paid Social,CreativeTest,default,12772,209,92.09,6,366.0
2025-04-26,Email,Welcome,default,500,41,78.91,5,213.5
2025-04-26,Email,Promo,default,2545,198,41.11,9,686.2
2025-04-26,Email,Reactivation,default,7015,547,47.46,26,2442.31
2025-04-27,Paid Search,Brand,default,7778,414,301.14,14,1248.02
2025-04-27,Paid Search,Non-Brand,default,13946,649,366.63,24,1120.86
2025-04-27,Paid Search,Shopping,default,11521,499,248.69,13,584.01
2025-04-27,Paid Social,Prospecting,default,12230,305,111.1,6,365.06
2025-04-27,Paid Social,Retargeting,default,12771,316,181.46,8,524.72
2025-04-27,Paid Social,CreativeTest,default,11914,267,128.49,4,207.32
2025-04-27,Email,Welcome,default,6159,561,69.29,22,1743.65
2025-04-27,Email,Promo,default,500,41,55.41,3,208.26
2025-04-27,Email,Reactivation,default,5714,334,85.72,17,806.14
2025-04-28,Paid Search,Brand,default,9300,498,338.88,13,896.09
2025-04-28,Paid Search,Non-Brand,default,10000,495,273.7,15,647.54
2025-04-28,Paid Search,Shopping,default,14935,782,495.94,19,1651.05
2025-04-28,Paid Social,Prospecting,default,10225,200,67.51,2,76.44
2025-04-28,Paid Social,Retargeting,default,12872,277,102.64,7,722.25
2025-04-28,Paid Social,CreativeTest,default,12981,367,120.59,8,565.35
2025-04-28,Email,Welcome,default,748,55,22.44,1,49.05
2025-04-28,Email,Promo,default,1147,119,63.99,5,167.01
2025-04-28,Email,Reactivation,default,4731,399,74.98,13,916.04
2025-04-29,Paid Search,Brand,default,13959,546,230.06,9,453.99
2025-04-29,Paid Search,Non-Brand,default,12867,496,335.31,18,1204.63
2025-04-29,Paid Search,Shopping,default,11764,566,310.58,22,1092.35
2025-04-29,Paid Social,Prospecting,default,9746,195,85.26,4,209.79
2025-04-29,Paid Social,Retargeting,default,11401,286,96.97,3,200.52
2025-04-29,Paid Social,CreativeTest,default,17703,412,122.59,5,304.61
2025-04-29,Email,Welcome,default,3478,381,73.41,11,823.7
2025-04-29,Email,Promo,default,549,44,77.89,3,165.72
2025-04-29,Email,Reactivation,default,7000,532,48.29,21,1286.11
2025-04-30,Paid Search,Brand,default,7334,450,193.09,12,990.25
2025-04-30,Paid Search,Non-Brand,default,10613,576,344.18,20,1207.88
2025-04-30,Paid Search,Shopping,default,13948,714,526.12,19,907.96
2025-04-30,Paid Social,Prospecting,default,10386,200,49.14,2,163.44
2025-04-30,Paid Social,Retargeting,default,14501,231,105.74,3,194.64
2025-04-30,Paid Social,CreativeTest,default,8975,83,38.12,3,234.13
2025-04-30,Email,Welcome,default,2128,83,64.84,2,170.4
2025-04-30,Email,Promo,default,500,35,55.16,0,0.0
2025-04-30,Email,Reactivation,default,4981,483,70.86,16,1215.82
2025-05-01,Paid Search,Brand,default,11872,390,311.57,9,831.16
2025-05-01,Paid Search,Non-Brand,default,14014,646,371.89,14,994.96
2025-05-01,Paid Search,Shopping,default,10464,477,321.15,14,1125.16
2025-05-01,Paid Social,Prospecting,default,6913,157,64.81,2,138.43
2025-05-01,Paid Social,Retargeting,default,10440,340,146.19,5,369.8
2025-05-01,Paid Social,CreativeTest,default,14078,271,86.46,4,254.2
2025-05-01,Email,Welcome,default,1459,133,88.31,6,406.41
2025-05-01,Email,Promo,default,4675,329,79.58,4,299.88
2025-05-01,Email,Reactivation,default,500,33,36.54,0,0.0
2025-05-02,Paid Search,Brand,default,14851,719,426.76,16,869.91
2025-05-02,Paid Search,Non-Brand,default,13445,515,176.96,17,1079.04
2025-05-02,Paid Search,Shopping,default,12246,592,196.17,25,1881.75
2025-05-02,Paid Social,Prospecting,default,11026,145,71.81,2,50.02
2025-05-02,Paid Social,Retargeting,default,9856,139,44.47,3,211.01
2025-05-02,Paid Social,CreativeTest,default,12490,304,92.02,6,431.0
2025-05-02,Email,Welcome,default,5848,553,60.01,22,1044.1
2025-05-02,Email,Promo,default,4451,354,51.76,12,1163.46
2025-05-02,Email,Reactivation,default,2767,246,25.99,6,398.95
2025-05-03,Paid Search,Brand,default,9310,413,265.49,15,907.05
2025-05-03,Paid Search,Non-Brand,default,14446,806,519.28,24,2081.45
2025-05-03,Paid Search,Shopping,default,13863,621,278.22,18,653.41
2025-05-03,Paid Social,Prospecting,default,10511,210,123.01,4,254.34
2025-05-03,Paid Social,Retargeting,default,12450,248,97.22,6,317.99
2025-05-03,Paid Social,CreativeTest,default,14438,257,98.81,5,240.45
2025-05-03,Email,Welcome,default,1812,139,54.75,2,150.59
2025-05-03,Email,Promo,default,2872,290,45.79,9,555.22
2025-05-03,Email,Reactivation,default,5635,389,64.56,16,635.93
2025-05-04,Paid Search,Brand,default,11797,463,163.97,11,775.71
2025-05-04,Paid Search,Non-Brand,default,16899,647,438.66,19,1758.58
2025-05-04,Paid Search,Shopping,default,10404,467,240.79,10,564.53
2025-05-04,Paid Social,Prospecting,default,18122,262,126.48,3,221.04
2025-05-04,Paid Social,Retargeting,default,5338,62,28.66,1,53.57
2025-05-04,Paid Social,CreativeTest,default,11649,173,62.99,3,124.38
2025-05-04,Email,Welcome,default,2667,357,36.99,21,1100.78
2025-05-04,Email,Promo,default,4320,199,97.16,8,442.83
2025-05-04,Email,Reactivation,default,6173,660,61.1,24,1840.96
2025-05-05,Paid Search,Brand,default,15056,489,309.13,8,554.66
2025-05-05,Paid Search,Non-Brand,default,10753,466,235.59,13,765.19
2025-05-05,Paid Search,Shopping,default,16720,709,299.69,18,2081.66
2025-05-05,Paid Social,Prospecting,default,15643,395,136.47,7,590.34
2025-05-05,Paid Social,Retargeting,default,13461,288,125.64,4,369.84
2025-05-05,Paid Social,CreativeTest,default,13248,318,157.09,3,190.59
2025-05-05,Email,Welcome,default,3055,220,37.44,9,668.35
2025-05-05,Email,Promo,default,4268,357,83.15,9,676.15
2025-05-05,Email,Reactivation,default,695,69,22.58,4,241.79
2025-05-06,Paid Search,Brand,default,10082,277,146.11,3,152.61
2025-05-06,Paid Search,Non-Brand,default,10390,459,275.94,10,485.65
2025-05-06,Paid Search,Shopping,default,8463,526,331.71,13,1256.12
2025-05-06,Paid Social,Prospecting,default,10511,127,60.13,2,126.18
2025-05-06,Paid Social,Retargeting,default,15626,224,91.19,4,151.64
2025-05-06,Paid Social,CreativeTest,default,15624,310,129.45,0,0.0
2025-05-06,Email,Welcome,default,500,35,53.56,2,178.5
2025-05-06,Email,Promo,default,1482,99,24.89,3,158.17
2025-05-06,Email,Reactivation,default,1691,141,53.62,5,254.26
2025-05-07,Paid Search,Brand,default,11221,380,127.04,15,619.86
2025-05-07,Paid Search,Non-Brand,default,6751,335,231.61,13,959.33
2025-05-07,Paid Search,Shopping,default,13344,498,221.21,9,788.81
2025-05-07,Paid Social,Prospecting,default,13110,210,41.45,1,47.51
2025-05-07,Paid Social,Retargeting,default,13392,198,75.51,2,164.07
2025-05-07,Paid Social,CreativeTest,default,14153,94,49.96,2,101.64
2025-05-07,Email,Welcome,default,5617,305,65.75,7,342.91
2025-05-07,Email,Promo,default,3339,228,16.98,9,641.21
2025-05-07,Email,Reactivation,default,2777,219,71.1,5,299.69
2025-05-08,Paid Search,Brand,default,13963,745,367.69,16,1056.5
2025-05-08,Paid Search,Non-Brand,default,9773,518,208.57,19,1557.52
2025-05-08,Paid Search,Shopping,default,8953,485,250.16,14,1146.09
2025-05-08,Paid Social,Prospecting,default,11366,335,175.93,4,369.05
2025-05-08,Paid Social,Retargeting,default,12943,261,115.84,7,496.12
2025-05-08,Paid Social,CreativeTest,default,12333,209,54.74,4,318.54
2025-05-08,Email,Welcome,default,5449,281,38.09,13,1040.75
2025-05-08,Email,Promo,default,4217,283,77.12,6,502.03
2025-05-08,Email,Reactivation,default,4657,277,42.76,10,444.97
2025-05-09,Paid Search,Brand,default,12514,508,254.17,12,444.31
2025-05-09,Paid Search,Non-Brand,default,16112,660,351.26,21,1796.23
2025-05-09,Paid Search,Shopping,default,10002,493,214.0,8,377.26
2025-05-09,Paid Social,Prospecting,default,10842,211,92.32,6,599.03
2025-05-09,Paid Social,Retargeting,default,13580,178,61.99,2,111.51
2025-05-09,Paid Social,CreativeTest,default,13827,144,36.57,1,74.6
2025-05-09,Email,Welcome,default,2784,221,73.26,7,408.19
2025-05-09,Email,Promo,default,1557,118,71.19,1,60.22
2025-05-09,Email,Reactivation,default,3714,369,62.47,12,798.93
2025-05-10,Paid Search,Brand,default,6025,282,78.74,11,621.39
2025-05-10,Paid Search,Non-Brand,default,11503,564,340.93,14,1156.64
2025-05-10,Paid Search,Shopping,default,4270,247,148.78,4,294.47
2025-05-10,Paid Social,Prospecting,default,6281,133,67.7,3,206.25
2025-05-10,Paid Social,Retargeting,default,11026,154,85.25,0,0.0
2025-05-10,Paid Social,CreativeTest,default,11008,197,87.33,2,74.73
2025-05-10,Email,Welcome,default,6409,663,96.35,22,1915.48
2025-05-10,Email,Promo,default,4322,290,47.11,16,677.35
2025-05-10,Email,Reactivation,default,8955,827,69.29,34,2266.37
2025-05-11,Paid Search,Brand,default,7350,311,142.1,9,532.12
2025-05-11,Paid Search,Non-Brand,default,12842,645,308.54,21,1495.15
2025-05-11,Paid Search,Shopping,default,12762,454,222.73,17,1092.74
2025-05-11,Paid Social,Prospecting,default,17825,271,54.28,2,147.02
2025-05-11,Paid Social,Retargeting,default,11401,201,68.89,3,170.28
2025-05-11,Paid Social,CreativeTest,default,12514,167,77.86,9,679.84
2025-05-11,Email,Welcome,default,4057,252,66.64,5,380.33
2025-05-11,Email,Promo,default,500,33,15.0,1,51.7
2025-05-11,Email,Reactivation,default,500,50,46.91,2,63.67
2025-05-12,Paid Search,Brand,default,7270,232,119.48,9,773.6
2025-05-12,Paid Search,Non-Brand,default,11175,386,242.34,9,393.76
2025-05-12,Paid Search,Shopping,default,10333,267,159.85,7,314.46
2025-05-12,Paid Social,Prospecting,default,15097,130,45.06,3,126.06
2025-05-12,Paid Social,Retargeting,default,12050,129,58.16,0,0.0
2025-05-12,Paid Social,CreativeTest,default,12775,280,66.57,4,206.39
2025-05-12,Email,Welcome,default,4293,187,53.24,10,495.38
2025-05-12,Email,Promo,default,3306,305,65.4,9,610.8
2025-05-12,Email,Reactivation,default,500,33,38.98,1,41.99
2025-05-13,Paid Search,Brand,default,13329,738,385.77,21,1293.89
2025-05-13,Paid Search,Non-Brand,default,8946,420,275.27,10,678.58
2025-05-13,Paid Search,Shopping,default,14103,743,220.96,11,829.67
2025-05-13,Paid Social,Prospecting,default,14806,230,68.03,3,173.52
2025-05-13,Paid Social,Retargeting,default,12741,220,89.84,7,209.78
2025-05-13,Paid Social,CreativeTest,default,11981,208,56.81,2,80.9
2025-05-13,Email,Welcome,default,4259,360,78.71,10,755.22
2025-05-13,Email,Promo,default,4563,296,94.98,9,654.08
2025-05-13,Email,Reactivation,default,4865,341,69.75,15,802.23
2025-05-14,Paid Search,Brand,default,10812,506,360.09,14,959.46
2025-05-14,Paid Search,Non-Brand,default,14060,758,349.21,21,1282.37
2025-05-14,Paid Search,Shopping,default,13352,598,362.71,13,776.8
2025-05-14,Paid Social,Prospecting,default,8643,14,7.48,0,0.0
2025-05-14,Paid Social,Retargeting,default,9363,123,50.7,1,49.8
2025-05-14,Paid Social,CreativeTest,default,13320,251,95.13,3,130.89
2025-05-14,Email,Welcome,default,5320,462,51.56,13,1120.82
2025-05-14,Email,Promo,default,5393,657,63.94,11,703.59
2025-05-14,Email,Reactivation,default,6927,604,81.75,15,953.26
2025-05-15,Paid Search,Brand,default,8393,296,118.82,7,679.69
2025-05-15,Paid Search,Non-Brand,default,12216,534,259.67,14,665.02
2025-05-15,Paid Search,Shopping,default,13013,435,232.89,9,515.72
2025-05-15,Paid Social,Prospecting,default,13355,350,174.11,2,137.67
2025-05-15,Paid Social,Retargeting,default,15424,298,100.51,1,81.33
